Student_ID,Age,Study_Hours,Attendance_Percent,Assignments_Score,Midterm_Score,Final_Score,Projects_Score
211,24,4.07,93.65,49.28,42.8,9.44,26.7
212,24,5.71,58.05,76.82,70.04,44.87,44.27
213,22,4.99,90.39,98.32,76.95,64.25,52.2
214,24,8.51,91.52,72.28,53.83,55.17,45.96
215,20,0.5,64.91,75.38,32.25,10.68,45.96
216,22,7.68,73.07,82.39,85.34,64.68,67.36
217,21,7.99,64.73,52.96,59.78,54.23,43.18
218,22,1.35,75.42,97.54,53.82,39.71,51.03
219,25,4.81,74.3,75.03,46.94,32.05,50.4
220,24,4.76,87.36,96.48,61.29,47.96,61.17
221,20,2.68,93.72,61.0,24.07,17.14,43.5
222,20,3.94,94.75,99.27,69.36,71.21,70.77
223,23,3.28,71.25,83.63,53.13,34.18,52.04
224,21,9.0,75.49,80.3,70.51,60.54,47.04
225,19,7.37,57.8,75.51,70.33,45.3,46.88
226,19,8.04,,68.27,73.36,63.01,45.58
227,22,6.94,89.58,90.01,98.21,91.56,63.64
228,23,3.24,97.39,74.11,38.61,36.44,46.49
229,18,4.45,63.19,42.49,52.77,23.51,40.58
230,22,6.48,70.89,55.24,66.03,41.54,42.47
231,23,3.06,77.68,69.21,42.5,5.48,42.7
232,21,6.93,81.36,76.65,71.89,62.0,55.63
233,21,5.02,68.28,71.15,54.63,37.83,41.77
234,21,4.75,83.09,90.28,70.51,57.21,50.19
235,21,6.92,72.31,42.73,66.28,32.22,19.98
236,21,6.39,77.83,74.15,72.39,48.69,46.11
237,23,4.78,84.56,44.73,48.8,24.39,38.25
238,23,7.82,78.08,83.4,72.84,69.14,50.66
239,20,3.34,72.76,70.58,37.33,21.3,39.55
240,25,6.73,76.68,78.29,67.9,71.07,58.56
241,19,6.69,76.94,59.04,71.28,50.91,51.27
242,24,4.88,73.56,91.19,54.41,32.95,45.06
243,21,6.15,74.89,87.63,62.25,49.71,66.5
244,18,3.0,97.18,80.75,57.67,36.64,62.78
245,24,7.35,84.73,70.06,58.08,29.13,36.58
246,23,5.13,74.45,80.7,56.98,57.28,43.6
247,18,4.45,86.36,61.4,47.35,39.08,52.49
248,18,7.6,73.99,84.83,63.39,59.31,54.45
249,18,4.09,92.08,96.74,59.83,52.57,37.32
250,20,2.68,82.44,88.06,66.2,31.83,42.85
251,23,2.39,76.71,61.06,30.05,11.88,33.09
252,18,6.71,83.37,77.42,53.45,54.71,38.25
253,21,2.94,59.15,52.6,34.39,3.03,28.87
254,22,9.01,64.48,80.59,87.68,43.02,60.76
255,18,1.34,63.67,78.76,46.69,21.46,62.07
256,20,8.89,79.72,43.95,55.1,40.51,32.87
257,24,5.92,98.79,54.57,54.15,42.15,50.3
258,23,5.31,100.0,67.75,41.03,44.65,56.36
259,25,4.41,85.66,67.49,59.71,45.87,60.74
260,20,6.3,84.01,53.86,58.65,42.47,43.32
261,18,5.42,56.39,,60.41,50.56,31.85
262,23,7.71,71.49,75.77,82.56,45.99,61.27
263,22,5.73,68.55,69.09,49.64,40.38,55.41
264,18,5.8,70.55,60.66,67.85,47.44,44.9
265,20,4.77,75.98,87.73,68.89,38.86,75.34
266,19,5.39,72.33,96.83,71.44,41.75,71.38
267,21,6.12,54.25,64.75,59.87,29.8,51.32
268,25,2.08,86.97,62.82,41.8,17.82,50.1
269,24,2.8,65.13,79.37,67.07,44.43,56.52
270,20,6.99,80.87,66.63,53.83,38.19,20.26
271,23,5.84,100.0,69.91,54.19,38.67,41.48
272,25,5.13,66.97,83.09,76.59,45.18,69.8
273,25,5.54,47.64,43.36,40.04,26.78,22.83
274,25,6.2,74.57,91.77,84.26,62.38,61.68
275,18,4.42,91.21,73.09,74.88,48.73,42.27
276,21,3.94,100.0,65.83,47.96,35.46,60.44
277,18,5.89,63.25,70.66,69.24,56.01,67.4
278,23,3.54,83.96,71.44,41.93,23.75,34.68
279,18,6.32,72.42,46.03,58.13,46.16,38.3
280,19,2.09,76.73,94.42,62.31,43.45,51.79
281,21,7.56,100.0,72.62,74.9,60.36,59.44
282,21,6.45,59.96,78.65,62.58,67.52,57.74
283,23,6.01,81.04,86.27,54.89,38.69,62.16
284,24,7.47,83.61,56.68,66.07,44.69,47.21
285,19,8.83,91.03,79.1,58.2,47.03,81.71
286,20,7.53,79.18,67.99,64.33,58.7,38.28
287,18,1.82,81.7,84.7,63.27,54.2,37.28
288,22,2.94,73.3,40.09,35.73,27.29,23.78
289,18,,81.23,70.51,75.27,57.62,35.93
290,25,5.55,73.88,62.96,67.09,40.57,31.57
291,18,6.54,85.46,78.48,62.77,48.4,42.63
292,20,4.05,73.56,79.05,59.95,25.14,42.35
293,18,5.87,82.53,61.39,56.78,58.61,33.74
294,19,3.99,77.65,61.32,33.86,27.3,42.24
295,19,4.28,91.51,70.34,46.39,31.78,39.26
296,21,2.69,77.38,58.55,37.34,31.65,34.56
297,23,3.65,56.72,84.63,40.8,19.37,58.14
298,24,2.8,93.14,66.46,48.22,35.29,35.0
299,22,3.55,67.13,28.4,27.32,3.11,17.85
300,25,7.61,70.15,66.38,50.21,46.93,47.98
301,18,3.6,70.85,56.42,49.48,24.96,19.24
302,18,10.76,94.49,47.53,76.36,48.86,19.32
303,20,6.49,52.37,53.44,57.61,32.86,43.53
304,23,5.87,100.0,73.64,60.74,60.16,54.71
305,19,3.78,90.67,91.93,71.61,53.15,80.86
306,22,6.9,80.68,76.7,76.59,64.16,56.97
307,21,4.35,77.34,62.9,55.07,24.77,51.36
308,19,5.74,81.43,78.84,58.09,46.09,49.48
309,25,10.62,84.25,65.11,81.06,61.57,55.19
310,23,5.31,85.74,61.58,67.06,50.81,62.47
311,25,7.8,84.67,54.68,55.3,43.87,
312,24,4.09,79.07,45.72,62.5,37.39,41.36
313,21,5.43,75.63,66.15,52.85,46.92,65.69
314,24,9.04,76.18,74.37,77.39,68.25,57.9
315,20,4.25,75.66,70.55,49.06,35.88,61.58
316,25,9.12,91.61,65.76,74.9,53.01,44.31
317,20,6.92,85.12,57.81,42.04,36.15,37.93
318,18,4.38,42.72,81.12,56.66,27.9,52.1
319,24,6.76,85.87,52.24,44.87,32.14,14.24
320,23,7.45,80.34,83.64,77.14,58.03,47.1
321,25,6.74,77.78,56.97,68.25,36.51,33.41
322,22,2.36,73.34,60.71,49.29,6.23,48.45
323,21,4.05,91.49,50.0,19.97,10.48,37.22
324,19,5.0,89.37,64.48,,50.82,52.48
325,23,5.35,68.73,86.63,72.0,38.82,66.56
326,23,6.74,82.88,79.73,63.05,52.37,51.69
327,20,5.86,66.34,86.68,72.66,69.29,70.65
328,24,2.83,61.44,79.83,56.99,41.64,50.97
329,25,6.26,70.48,55.44,48.87,47.59,39.31
330,25,6.72,88.35,67.04,65.73,53.81,45.63
331,18,6.62,89.44,60.3,53.57,52.93,49.02
332,18,7.66,84.16,91.96,77.18,59.42,58.38
333,21,7.17,86.7,54.05,51.54,34.49,48.76
334,20,6.42,84.19,85.41,58.32,26.79,43.3
335,23,5.36,70.3,85.39,69.86,60.66,46.24
336,25,2.18,83.18,99.44,69.26,62.17,69.48
337,22,6.36,87.6,65.85,66.81,44.11,47.04
338,20,5.92,87.05,82.68,77.34,55.96,53.48
339,21,6.04,92.27,100.0,,61.5,76.02
340,21,2.95,86.5,62.74,40.96,29.3,33.14
341,20,3.34,82.22,48.97,,34.74,33.04
342,21,7.61,90.84,43.8,40.94,18.6,45.84
343,20,5.42,77.68,82.69,58.16,49.48,68.5
344,19,6.86,67.42,43.75,41.87,24.11,47.6
345,20,5.56,76.04,66.42,69.56,46.25,45.84
346,24,5.56,69.06,78.56,74.87,54.26,67.77
347,20,7.38,69.9,74.78,75.51,53.06,44.88
348,21,4.47,76.27,78.38,71.7,46.24,45.24
349,25,5.69,68.49,75.33,55.41,38.58,25.67
350,24,4.58,74.3,91.18,71.94,60.32,76.89
351,21,4.63,55.28,57.72,49.02,28.74,30.74
352,18,4.88,80.56,61.85,62.01,41.32,43.29
353,18,5.94,78.01,60.41,55.85,27.17,33.53
354,25,4.54,68.19,84.45,60.77,39.17,61.28
355,25,8.01,85.91,85.51,84.48,76.54,57.85
356,24,3.71,89.25,78.77,66.93,46.47,40.06
357,19,5.13,58.71,89.75,63.19,50.84,61.88
358,25,4.62,68.85,54.33,47.75,42.48,23.2
359,18,8.39,68.77,97.01,76.35,75.03,56.46
360,20,5.89,66.72,94.85,50.76,46.24,35.78
361,21,7.56,87.95,83.03,77.93,59.21,44.5
362,18,2.53,75.67,98.73,70.5,24.8,64.47
363,18,6.03,74.83,47.15,52.69,30.51,16.25
364,19,7.28,53.95,64.13,44.89,30.04,27.09
365,24,5.66,85.63,60.97,52.68,41.96,42.0
366,24,7.63,63.13,82.82,53.89,45.53,47.21
367,23,4.47,78.72,56.25,62.5,33.0,61.97
368,19,8.32,81.33,83.36,68.26,44.17,75.0
369,20,10.1,94.33,92.56,100.0,77.81,60.5
370,24,4.77,62.29,82.43,73.89,51.29,62.33
371,21,4.61,41.77,76.26,51.37,44.52,55.8
372,25,8.41,80.21,57.18,53.75,43.59,35.3
373,19,8.66,99.61,59.3,70.75,61.42,31.58
374,25,4.45,92.87,90.74,59.28,58.59,56.65
375,18,4.66,80.52,83.69,65.69,40.66,53.52
376,21,4.94,72.1,71.41,54.2,40.52,42.56
377,21,2.81,87.69,65.73,29.59,15.01,42.1
378,18,3.66,66.32,41.61,15.23,11.77,15.94
379,19,3.49,83.72,55.94,47.0,28.49,26.27
380,18,3.96,84.07,100.0,65.24,54.95,63.39
381,25,5.43,90.72,52.79,45.23,25.76,40.28
382,23,5.97,100.0,74.84,72.0,62.86,41.4
383,21,8.6,82.71,87.11,94.05,93.05,74.14
384,22,3.5,71.89,53.18,40.53,11.26,17.23
385,22,7.47,77.69,74.77,67.59,50.36,46.63
386,25,5.07,56.77,86.07,72.63,49.3,55.58
387,20,5.4,69.66,72.19,47.74,42.44,39.41
388,24,6.85,73.09,100.0,84.63,61.87,62.22
389,18,3.25,71.71,46.97,44.37,0.0,51.75
390,18,6.26,79.83,87.88,80.2,72.83,52.65
391,20,5.83,68.13,69.41,42.14,39.63,67.64
392,20,6.48,91.45,83.58,64.29,39.82,59.68
393,25,6.08,78.0,78.62,58.77,41.23,52.51
394,25,10.41,77.89,61.0,76.19,75.46,53.86
395,20,4.22,74.07,75.43,63.19,54.06,76.1
396,21,4.44,79.86,44.13,56.99,37.82,25.28
397,25,4.25,87.9,81.05,56.64,42.01,40.49
398,23,4.39,67.59,76.47,54.64,37.17,41.62
399,25,4.23,70.1,81.58,73.27,45.55,56.41
400,18,7.88,74.36,87.87,82.81,75.4,44.96
401,25,8.34,61.85,77.51,88.67,54.64,59.36
402,21,4.36,68.17,74.22,61.14,31.36,66.71
403,20,3.84,72.29,58.78,36.1,30.49,37.95
404,18,6.44,88.49,61.32,46.16,38.29,37.82
405,25,4.4,81.15,89.8,51.46,55.47,48.19
406,21,6.77,80.32,93.55,85.13,60.39,74.06
407,23,5.91,88.21,68.43,73.14,51.14,42.3
408,25,2.47,76.35,72.69,68.35,29.39,68.88
409,21,8.6,82.69,58.43,74.95,55.7,66.51
410,23,9.09,76.76,89.59,97.27,63.29,69.47
411,20,4.27,81.18,81.98,56.39,37.8,51.94
412,25,4.72,71.01,100.0,62.33,37.05,72.07
413,23,6.07,48.73,58.83,65.14,41.55,55.22
414,18,6.17,76.39,66.33,65.33,51.67,39.66
415,20,6.82,95.07,75.47,69.85,41.5,47.86
416,18,9.52,89.11,81.7,86.89,85.54,47.64
417,22,5.15,89.58,68.76,61.64,67.12,51.73
418,19,3.9,92.83,58.91,60.85,38.33,49.36
419,25,2.74,79.06,85.22,70.79,38.9,43.23
420,23,4.04,80.37,82.82,67.14,71.83,50.51
421,19,5.43,70.59,58.26,62.23,25.47,29.66
422,19,9.09,74.21,92.33,92.28,74.84,57.9
423,23,4.46,85.39,89.55,62.5,50.83,62.55
424,20,5.95,92.45,74.01,72.06,66.39,45.47
425,25,5.47,76.33,73.19,48.18,41.02,43.34
426,22,7.88,72.6,80.31,86.22,59.2,43.39
427,18,10.55,78.01,59.07,62.76,46.52,46.78
428,21,4.44,85.21,72.45,60.46,39.11,48.38
429,18,4.52,60.67,39.71,31.48,2.73,19.58
430,21,7.59,50.45,85.15,82.72,57.83,59.0
431,18,6.86,71.39,48.58,53.83,29.59,38.84
432,23,9.19,63.35,,72.83,50.84,54.91
433,22,6.67,71.9,67.05,67.75,58.23,34.01
434,25,4.78,76.23,68.82,51.2,31.05,63.02
435,21,6.68,72.56,62.58,69.96,35.16,40.99
436,25,7.72,95.43,67.68,68.11,54.83,48.44
437,25,7.14,81.92,93.28,83.82,67.89,74.82
438,25,6.51,81.61,34.68,35.56,7.37,61.42
439,24,7.63,85.47,91.15,74.78,67.8,49.18
440,20,7.84,64.33,77.07,69.16,43.27,58.43
441,18,8.26,90.47,53.89,71.27,68.74,37.06
442,25,6.8,77.09,55.87,74.69,52.55,40.13
443,18,5.17,86.05,97.15,66.04,52.13,54.32
444,25,5.79,65.14,57.82,65.74,31.78,32.65
445,21,7.91,59.35,54.7,40.04,,36.19
446,20,3.87,87.81,89.06,52.51,48.87,39.42
447,20,6.24,82.52,77.08,57.75,47.08,60.15
448,23,4.71,67.18,57.93,37.19,20.99,37.09
449,24,5.56,67.56,75.25,47.78,36.93,51.42
450,23,8.06,91.51,56.61,67.5,46.8,39.7
451,23,5.88,63.73,88.51,70.07,48.0,55.15
452,23,5.59,97.71,87.92,74.52,41.74,62.47
453,23,2.78,67.19,79.98,62.01,44.8,40.55
454,23,6.99,85.66,77.42,73.21,60.13,51.31
455,22,6.79,74.06,98.42,87.87,60.91,59.36
456,20,9.83,85.24,72.0,78.21,83.27,45.5
457,23,4.88,71.47,54.27,37.52,24.18,13.92
458,25,5.94,76.05,78.74,77.64,45.0,69.72
459,20,6.0,78.49,100.0,73.1,68.23,57.91
460,20,8.65,65.97,56.78,56.49,46.33,53.47
461,19,5.31,86.89,66.58,56.08,44.74,55.99
462,22,6.06,71.84,78.25,58.14,40.85,38.4
463,23,6.72,75.26,71.19,61.84,50.76,38.29
464,18,5.87,66.07,57.27,58.43,33.12,67.45
465,21,4.61,47.25,88.83,70.77,48.57,76.33
466,24,5.89,75.71,100.0,69.57,40.76,63.55
467,25,7.65,100.0,74.94,66.93,55.39,54.94
468,18,3.45,87.42,58.44,56.67,48.65,35.02
469,22,5.77,77.77,48.77,54.85,26.59,41.42
470,21,4.1,74.85,75.87,78.88,42.63,47.71
471,22,7.89,78.27,88.56,92.07,66.63,44.52
472,25,2.45,84.57,79.13,64.78,29.41,39.2
473,20,4.38,63.83,71.96,43.23,8.87,44.5
474,21,6.25,91.37,63.16,67.39,46.96,35.52
475,20,8.63,86.58,55.62,64.58,52.29,42.66
476,25,5.37,86.62,84.52,62.45,49.97,44.24
477,18,4.39,83.26,85.71,66.38,47.55,48.44
478,25,9.26,78.24,48.81,73.35,52.83,51.15
479,18,2.6,86.07,95.85,68.14,57.75,63.29
480,21,1.1,85.1,80.61,39.96,24.06,46.44
481,21,6.38,73.75,92.99,84.09,57.8,73.25
482,23,4.5,71.12,51.87,40.14,19.95,39.3
483,22,3.46,79.22,51.51,44.33,28.37,49.59
484,23,6.92,96.59,69.77,63.0,65.38,44.28
485,22,5.99,63.13,79.54,65.51,40.41,49.37
486,23,4.37,60.39,98.95,79.57,54.54,52.5
487,20,2.94,79.98,82.59,46.78,36.82,45.31
488,21,7.24,78.61,68.36,86.03,50.09,63.73
489,18,6.8,80.08,56.6,40.12,33.47,50.2
490,22,5.3,80.93,90.45,64.98,38.84,67.88
491,25,9.19,75.32,57.53,72.12,38.08,28.27
492,22,3.36,95.88,96.43,72.32,58.64,73.14
493,18,2.45,58.79,67.73,46.04,18.02,24.22
494,23,4.12,68.06,95.86,68.61,50.61,70.3
495,22,5.41,76.76,82.18,70.94,50.94,52.39
496,24,5.99,58.28,69.95,60.11,30.27,55.02
497,20,5.02,75.89,64.21,69.32,42.28,34.15
